method,path,file,line,handler,module,guards,public,roles,kind,svcCall,hasFrontendCaller
GET,/api/admin/cron-status,modules/admin/presentation/controllers/admin-cron-status.controller.ts,30,getCronStatus,admin,"JwtAuthGuard, RolesGuard",false,UserRole.SUPER_ADMIN,UserRole.DIRECTOR,svc,cronStatusService.getAllStatuses,false
GET,/api/admin/roles,modules/admin/presentation/controllers/admin-extra.controller.ts,27,getRoles,admin,"JwtAuthGuard, RolesGuard",false,,svc,svc.getRoles,false
GET,/api/admin/logs,modules/admin/presentation/controllers/admin-extra.controller.ts,33,getLogs,admin,"JwtAuthGuard, RolesGuard",false,,svc,svc.getLogs,false
GET,/api/admin/audit,modules/admin/presentation/controllers/admin-extra.controller.ts,42,getAudit,admin,"JwtAuthGuard, RolesGuard",false,,svc,svc.getAudit,true
GET,/api/admin/audit-filtered,modules/admin/presentation/controllers/admin-extra.controller.ts,48,getAuditFiltered,admin,"JwtAuthGuard, RolesGuard",false,,svc,svc.getLogsFiltered,true
GET,/api/admin/audit-tables,modules/admin/presentation/controllers/admin-extra.controller.ts,67,getAuditTables,admin,"JwtAuthGuard, RolesGuard",false,,svc,svc.getDistinctTables,true
GET,/api/admin/system,modules/admin/presentation/controllers/admin-extra.controller.ts,73,getSystemStatus,admin,"JwtAuthGuard, RolesGuard",false,,svc,svc.getSystemStatus,false
GET,/api/admin/system/alerts/:id,modules/admin/presentation/controllers/admin-extra.controller.ts,79,getAlert,admin,"JwtAuthGuard, RolesGuard",false,,svc,svc.getAlertById,false
POST,/api/admin/login,modules/admin/presentation/controllers/admin-extra.controller.ts,85,adminLogin,admin,"JwtAuthGuard, RolesGuard",false,,real?,,false
GET,/api/admin/queues/status,modules/admin/presentation/controllers/admin-queue.controller.ts,27,getStatus,admin,"JwtAuthGuard, RolesGuard",false,,svc,svc.getStatus,true
GET,/api/admin/queues/failed,modules/admin/presentation/controllers/admin-queue.controller.ts,34,getAllFailed,admin,"JwtAuthGuard, RolesGuard",false,,svc,svc.getAllFailed,true
GET,/api/admin/queues/failed/:queue,modules/admin/presentation/controllers/admin-queue.controller.ts,41,getFailedByQueue,admin,"JwtAuthGuard, RolesGuard",false,,svc,svc.getFailedByQueue,true
POST,/api/admin/queues/retry/:queue/:jobId,modules/admin/presentation/controllers/admin-queue.controller.ts,49,retryJob,admin,"JwtAuthGuard, RolesGuard",false,,svc,svc.retryJob,true
DELETE,/api/admin/queues/failed/:id,modules/admin/presentation/controllers/admin-queue.controller.ts,58,deleteFailedJob,admin,"JwtAuthGuard, RolesGuard",false,,svc,svc.deleteFailedJob,true
GET,/api/admin/settings,modules/admin/presentation/controllers/admin-settings.controller.ts,54,getSettings,admin,"JwtAuthGuard, RolesGuard",false,UserRole.SUPER_ADMIN,UserRole.DIRECTOR,svc,settingsRepo.getSettings,false
PATCH,/api/admin/settings,modules/admin/presentation/controllers/admin-settings.controller.ts,77,updateSettings,admin,"JwtAuthGuard, RolesGuard",false,UserRole.SUPER_ADMIN,svc,updateSettingsHandler.execute,false
POST,/api/admin/users,modules/admin/presentation/controllers/admin-users.controller.ts,47,createUser,admin,"JwtAuthGuard, RolesGuard",false,UserRole.SUPER_ADMIN,UserRole.DIRECTOR,svc,createUserHandler.execute,true
GET,/api/admin/users,modules/admin/presentation/controllers/admin-users.controller.ts,70,listUsers,admin,"JwtAuthGuard, RolesGuard",false,UserRole.SUPER_ADMIN,UserRole.DIRECTOR,svc,listUsersHandler.execute,true
PATCH,/api/admin/users/:id/role,modules/admin/presentation/controllers/admin-users.controller.ts,94,updateUserRole,admin,"JwtAuthGuard, RolesGuard",false,UserRole.SUPER_ADMIN,svc,updateUserRoleHandler.execute,true
DELETE,/api/admin/users/:id,modules/admin/presentation/controllers/admin-users.controller.ts,109,deleteUser,admin,"JwtAuthGuard, RolesGuard",false,UserRole.SUPER_ADMIN,svc,userRepo.softDelete,true
GET,/api/agents/director/briefing,modules/agents/agents.controller.ts,73,briefing,agents,"JwtAuthGuard, RolesGuard",false,'director','super_admin','admin','ceo',svc,director.getDailyBriefing,true
POST,/api/agents/director/ask,modules/agents/agents.controller.ts,77,ask,agents,"JwtAuthGuard, RolesGuard",false,'director','super_admin','admin','ceo',svc,director.askAdvisor,true
GET,/api/agents/director/module-health,modules/agents/agents.controller.ts,84,moduleHealth,agents,"JwtAuthGuard, RolesGuard",false,'director','super_admin','admin','ceo',svc,director.getModuleHealth,true
GET,/api/agents/crm/score-leads,modules/agents/agents.controller.ts,89,?,agents,"JwtAuthGuard, RolesGuard",false,'director','super_admin','admin','ceo',real?,,true
POST,/api/agents/crm/proposal/:leadId,modules/agents/agents.controller.ts,90,?,agents,"JwtAuthGuard, RolesGuard",false,,real?,,false
GET,/api/agents/crm/customer360/:id,modules/agents/agents.controller.ts,91,?,agents,"JwtAuthGuard, RolesGuard",false,,real?,,false
GET,/api/agents/crm/churn/:id,modules/agents/agents.controller.ts,92,?,agents,"JwtAuthGuard, RolesGuard",false,,real?,,false
GET,/api/agents/production/monitor,modules/agents/agents.controller.ts,95,?,agents,"JwtAuthGuard, RolesGuard",false,,real?,,true
GET,/api/agents/production/oee,modules/agents/agents.controller.ts,96,?,agents,"JwtAuthGuard, RolesGuard",false,,real?,,true
GET,/api/agents/production/bottleneck,modules/agents/agents.controller.ts,97,?,agents,"JwtAuthGuard, RolesGuard",false,,real?,,true
GET,/api/agents/production/shift-report/:shiftId,modules/agents/agents.controller.ts,98,?,agents,"JwtAuthGuard, RolesGuard",false,,real?,,false
GET,/api/agents/inventory/forecast/:materialId,modules/agents/agents.controller.ts,101,?,agents,"JwtAuthGuard, RolesGuard",false,,real?,,false
GET,/api/agents/inventory/critical,modules/agents/agents.controller.ts,102,?,agents,"JwtAuthGuard, RolesGuard",false,,real?,,true
GET,/api/agents/inventory/abc,modules/agents/agents.controller.ts,103,?,agents,"JwtAuthGuard, RolesGuard",false,,real?,,false
GET,/api/agents/inventory/rolls,modules/agents/agents.controller.ts,104,?,agents,"JwtAuthGuard, RolesGuard",false,,real?,,true
GET,/api/agents/inventory/rolls/fifo,modules/agents/agents.controller.ts,105,?,agents,"JwtAuthGuard, RolesGuard",false,,real?,,true
POST,/api/agents/inventory/rolls/scan,modules/agents/agents.controller.ts,106,?,agents,"JwtAuthGuard, RolesGuard",false,,real?,,true
POST,/api/agents/inventory/rolls/use,modules/agents/agents.controller.ts,110,?,agents,"JwtAuthGuard, RolesGuard",false,,real?,,true
GET,/api/agents/inventory/rolls/qr/:dbId,modules/agents/agents.controller.ts,114,?,agents,"JwtAuthGuard, RolesGuard",false,,real?,,true
GET,/api/agents/finance/cashflow,modules/agents/agents.controller.ts,117,?,agents,"JwtAuthGuard, RolesGuard",false,,real?,,true
GET,/api/agents/finance/overdue,modules/agents/agents.controller.ts,118,bonusDefault,agents,"JwtAuthGuard, RolesGuard",false,,svc,i18n.t,false
GET,/api/agents/finance/fraud,modules/agents/agents.controller.ts,119,bonusDefault,agents,"JwtAuthGuard, RolesGuard",false,,svc,i18n.t,false
GET,/api/agents/supplier/scores,modules/agents/agents.controller.ts,122,bonusDefault,agents,"JwtAuthGuard, RolesGuard",false,,svc,i18n.t,true
GET,/api/agents/supplier/risks,modules/agents/agents.controller.ts,123,bonusDefault,agents,"JwtAuthGuard, RolesGuard",false,,svc,i18n.t,true
GET,/api/agents/hr/performance,modules/agents/agents.controller.ts,126,bonusDefault,agents,"JwtAuthGuard, RolesGuard",false,,svc,i18n.t,true
GET,/api/agents/hr/performance/:id,modules/agents/agents.controller.ts,127,bonusDefault,agents,"JwtAuthGuard, RolesGuard",false,,svc,i18n.t,true
GET,/api/agents/hr/churn,modules/agents/agents.controller.ts,128,bonusDefault,agents,"JwtAuthGuard, RolesGuard",false,,svc,i18n.t,true
GET,/api/agents/hr/churn/:id,modules/agents/agents.controller.ts,129,bonusDefault,agents,"JwtAuthGuard, RolesGuard",false,,svc,i18n.t,true
GET,/api/agents/hr/bonus,modules/agents/agents.controller.ts,130,bonusDefault,agents,"JwtAuthGuard, RolesGuard",false,,svc,i18n.t,true
GET,/api/agents/hr/bonus/:id,modules/agents/agents.controller.ts,138,bonus,agents,"JwtAuthGuard, RolesGuard",false,,svc,i18n.t,true
GET,/api/agents/quality/trend,modules/agents/agents.controller.ts,148,?,agents,"JwtAuthGuard, RolesGuard",false,,real?,,true
GET,/api/agents/quality/quarantine,modules/agents/agents.controller.ts,149,?,agents,"JwtAuthGuard, RolesGuard",false,,real?,,true
GET,/api/agents/security/access-attempts,modules/agents/agents.controller.ts,152,?,agents,"JwtAuthGuard, RolesGuard",false,,real?,,true
GET,/api/agents/security/audit-anomalies,modules/agents/agents.controller.ts,153,?,agents,"JwtAuthGuard, RolesGuard",false,,real?,,false
GET,/api/agents/marketing/roi/:campaignId,modules/agents/agents.controller.ts,156,?,agents,"JwtAuthGuard, RolesGuard",false,,real?,,false
POST,/api/agents/marketing/content,modules/agents/agents.controller.ts,157,?,agents,"JwtAuthGuard, RolesGuard",false,,real?,,false
GET,/api/agents/marketing/segments,modules/agents/agents.controller.ts,161,?,agents,"JwtAuthGuard, RolesGuard",false,,real?,,true
GET,/api/agents/lms/progress/:id,modules/agents/agents.controller.ts,164,?,agents,"JwtAuthGuard, RolesGuard",false,,real?,,false
GET,/api/agents/lms/expiry,modules/agents/agents.controller.ts,165,?,agents,"JwtAuthGuard, RolesGuard",false,,real?,,true
GET,/api/agents/iot/sensor,modules/agents/agents.controller.ts,168,scenario,agents,"JwtAuthGuard, RolesGuard",false,'director','super_admin','admin','ceo',svc,strategic.scenarioAnalysis,true
GET,/api/agents/iot/sensor/:machineId,modules/agents/agents.controller.ts,169,scenario,agents,"JwtAuthGuard, RolesGuard",false,'director','super_admin','admin','ceo',svc,strategic.scenarioAnalysis,true
GET,/api/agents/iot/anomaly/:machineId,modules/agents/agents.controller.ts,170,scenario,agents,"JwtAuthGuard, RolesGuard",false,'director','super_admin','admin','ceo',svc,strategic.scenarioAnalysis,false
GET,/api/agents/iot/rul/:machineId,modules/agents/agents.controller.ts,171,scenario,agents,"JwtAuthGuard, RolesGuard",false,'director','super_admin','admin','ceo',svc,strategic.scenarioAnalysis,false
GET,/api/agents/facilities/utility,modules/agents/agents.controller.ts,174,scenario,agents,"JwtAuthGuard, RolesGuard",false,'director','super_admin','admin','ceo',svc,strategic.scenarioAnalysis,true
GET,/api/agents/facilities/maintenance,modules/agents/agents.controller.ts,175,scenario,agents,"JwtAuthGuard, RolesGuard",false,'director','super_admin','admin','ceo',svc,strategic.scenarioAnalysis,true
GET,/api/agents/facilities/supplies,modules/agents/agents.controller.ts,176,scenario,agents,"JwtAuthGuard, RolesGuard",false,'director','super_admin','admin','ceo',svc,strategic.scenarioAnalysis,true
POST,/api/agents/strategic/scenario,modules/agents/agents.controller.ts,179,scenario,agents,"JwtAuthGuard, RolesGuard",false,'director','super_admin','admin','ceo',svc,strategic.scenarioAnalysis,true
GET,/api/agents/strategic/forecast-revenue,modules/agents/agents.controller.ts,186,forecastRev,agents,"JwtAuthGuard, RolesGuard",false,'director','super_admin','admin','cfo','ceo',svc,strategic.forecastRevenue,true
GET,/api/agents/strategic/investment,modules/agents/agents.controller.ts,190,investment,agents,"JwtAuthGuard, RolesGuard",false,'director','super_admin','admin','cfo','ceo',svc,strategic.recommendCapitalInvestment,true
GET,/api/agents/alerts,modules/agents/agents.controller.ts,195,myAlerts,agents,"JwtAuthGuard, RolesGuard",false,'director','super_admin','admin','cfo','ceo',svc,alerts.listForUser,true
POST,/api/agents/alerts/:id/read,modules/agents/agents.controller.ts,201,?,agents,"JwtAuthGuard, RolesGuard",false,,real?,,true
GET,/api/ai/automation/status,modules/ai/presentation/ai-automation.controller.ts,24,getStatus,ai,"RolesGuard",false,'admin','director',svc,automation.getAutomationStatus,true
POST,/api/ai/automation/run-all-pending,modules/ai/presentation/ai-automation.controller.ts,32,runAllPending,ai,"RolesGuard",false,'admin',svc,automation.runAllPendingJobs,true
POST,/api/ai/crm/score-lead/:leadId,modules/ai/presentation/ai-crm.controller.ts,32,scoreLead,ai,"RolesGuard",false,'admin','crm_manager','manager','sales',svc,crmAi.scoreLead,true
POST,/api/ai/crm/deal-probability/:dealId,modules/ai/presentation/ai-crm.controller.ts,40,dealProbability,ai,"RolesGuard",false,'admin','crm_manager','manager','sales',svc,crmAi.predictDealProbability,true
POST,/api/ai/crm/churn-risk/:contactId,modules/ai/presentation/ai-crm.controller.ts,48,churnRisk,ai,"RolesGuard",false,'admin','crm_manager','manager',svc,crmAi.assessChurnRisk,true
POST,/api/ai/crm/email-template,modules/ai/presentation/ai-crm.controller.ts,61,emailTemplate,ai,"RolesGuard",false,'admin','crm_manager','sales','manager',svc,crmAi.generateEmailTemplate,true
POST,/api/ai/crm/next-best-action/:dealId,modules/ai/presentation/ai-crm.controller.ts,73,nextBestAction,ai,"RolesGuard",false,'admin','crm_manager','sales','manager',svc,crmAi.nextBestAction,true
POST,/api/ai/director/kpi-explain,modules/ai/presentation/ai-director.controller.ts,36,explainKpi,ai,"RolesGuard",false,'admin','director','manager','cfo',svc,directorAi.explainKpi,true
POST,/api/ai/director/risk-assess,modules/ai/presentation/ai-director.controller.ts,51,riskAssess,ai,"RolesGuard",false,'admin','director','cfo',svc,directorAi.assessRisks,true
POST,/api/ai/director/strategic-recommendations,modules/ai/presentation/ai-director.controller.ts,63,strategicRecommendations,ai,"RolesGuard",false,'admin','director',svc,directorStrategy.generateStrategicRecommendations,true
GET,/api/ai/director/executive-summary,modules/ai/presentation/ai-director.controller.ts,75,executiveSummary,ai,"RolesGuard",false,'admin','director',svc,directorStrategy.generateExecutiveSummary,false
GET,/api/ai-exam/attempts,modules/ai/presentation/ai-exam.controller.ts,32,getAttempts,ai,"JwtAuthGuard, RolesGuard",false,,svc,service.getAttempts,true
GET,/api/ai-exam/attempt/:id,modules/ai/presentation/ai-exam.controller.ts,38,getAttemptById,ai,"JwtAuthGuard, RolesGuard",false,,svc,service.getAttemptById,true
POST,/api/ai-exam/assign,modules/ai/presentation/ai-exam.controller.ts,44,assignExam,ai,"JwtAuthGuard, RolesGuard",false,,svc,service.assignExam,true
GET,/api/ai-exam/attempt,modules/ai/presentation/ai-exam.controller.ts,52,getAttemptsAlias,ai,"JwtAuthGuard, RolesGuard",false,,svc,service.getAttempts,true
POST,/api/ai-exam/attempt,modules/ai/presentation/ai-exam.controller.ts,58,submitAttempt,ai,"JwtAuthGuard, RolesGuard",false,,svc,service.submitAttempt,true
DELETE,/api/ai-exam/attempt/:id,modules/ai/presentation/ai-exam.controller.ts,66,deleteAttempt,ai,"JwtAuthGuard, RolesGuard",false,,svc,service.deleteAttempt,true
GET,/api/ai/finance/anomalies,modules/ai/presentation/ai-finance.controller.ts,69,detectAnomalies,ai,"RolesGuard",false,'admin','accountant','cfo','director',svc,financeAi.detectAnomalies,true
GET,/api/ai/finance/insights,modules/ai/presentation/ai-finance.controller.ts,78,getInsights,ai,"RolesGuard",false,'admin','accountant','cfo','director','manager',svc,financeAi.detectAnomalies,true
POST,/api/ai/finance/cashflow-forecast,modules/ai/presentation/ai-finance.controller.ts,142,cashflowForecast,ai,"RolesGuard",false,'admin','accountant','cfo','director',svc,financeAi.forecastCashflow,true
POST,/api/ai/finance/budget-variance,modules/ai/presentation/ai-finance.controller.ts,154,budgetVariance,ai,"RolesGuard",false,'admin','accountant','cfo','director','manager',svc,financeAnalysis.explainBudgetVariance,true
POST,/api/ai/finance/classify-invoice,modules/ai/presentation/ai-finance.controller.ts,168,classifyInvoice,ai,"RolesGuard",false,'admin','accountant','cfo',svc,financeAnalysis.classifyInvoice,true
POST,/api/ai/finance/fraud-risk,modules/ai/presentation/ai-finance.controller.ts,180,fraudRisk,ai,"RolesGuard",false,'admin','accountant','cfo','director',svc,financeAnalysis.assessFraudRisk,true
GET,/api/ai-hr/interviews,modules/ai/presentation/ai-hr-new.controller.ts,34,getInterviews,ai,"JwtAuthGuard, RolesGuard",false,,svc,service.getInterviews,true
POST,/api/ai-hr/interviews,modules/ai/presentation/ai-hr-new.controller.ts,40,createInterview,ai,"JwtAuthGuard, RolesGuard",false,,svc,service.createInterview,true
GET,/api/ai-hr/dashboard,modules/ai/presentation/ai-hr-new.controller.ts,48,getDashboard,ai,"JwtAuthGuard, RolesGuard",false,,svc,service.getDashboard,true
GET,/api/ai-hr/providers,modules/ai/presentation/ai-hr-new.controller.ts,54,getProviders,ai,"JwtAuthGuard, RolesGuard",false,,svc,service.getProviders,true
GET,/api/ai-hr/usage/budget,modules/ai/presentation/ai-hr-new.controller.ts,60,getUsageBudget,ai,"JwtAuthGuard, RolesGuard",false,,svc,service.getUsageBudget,true
GET,/api/ai-hr/tasks/:id,modules/ai/presentation/ai-hr-new.controller.ts,66,getTaskById,ai,"JwtAuthGuard, RolesGuard",false,,svc,service.getTaskById,true
POST,/api/ai-hr/tasks/:taskType,modules/ai/presentation/ai-hr-new.controller.ts,73,submitTask,ai,"JwtAuthGuard, RolesGuard",false,,svc,service.submitTask,true
POST,/api/ai/hr/screen/:candidateId,modules/ai/presentation/ai-hr.controller.ts,38,screenCandidate,ai,"RolesGuard",false,'admin','hr_manager','hr','hr_recruiter',svc,hrAi.screenCandidate,true
POST,/api/ai/hr/classify-productivity,modules/ai/presentation/ai-hr.controller.ts,46,classifyProductivity,ai,"RolesGuard",false,'admin','hr_manager','hr','hr_recruiter',svc,hrAi.classifyProductivity,true
POST,/api/ai/hr/interview-questions,modules/ai/presentation/ai-hr.controller.ts,55,generateInterviewQuestions,ai,"RolesGuard",false,'admin','hr_manager','hr','hr_recruiter',svc,hrAi.generateInterviewQuestions,true
POST,/api/ai/hr/analyze-tool-test/:toolTestId,modules/ai/presentation/ai-hr.controller.ts,64,analyzeToolTest,ai,"RolesGuard",false,'admin','hr_manager','hr','hr_recruiter',svc,hrAiExt.analyzeToolTest,true
POST,/api/ai/hr/onboarding-plan,modules/ai/presentation/ai-hr.controller.ts,73,generateOnboardingPlan,ai,"RolesGuard",false,'admin','hr_manager','hr',svc,hrAiExt.generateOnboardingPlan,true
POST,/api/ai/hr/performance-review/:employeeId,modules/ai/presentation/ai-hr.controller.ts,82,performanceReview,ai,"RolesGuard",false,'admin','hr_manager','manager',svc,hrAiExt.performanceReview,true
POST,/api/ai/marketing/generate-content,modules/ai/presentation/ai-marketing.controller.ts,33,generateContent,ai,"RolesGuard",false,'admin','marketing','manager','designer',svc,marketingAi.generateContent,true
POST,/api/ai/marketing/ad-copy,modules/ai/presentation/ai-marketing.controller.ts,47,adCopy,ai,"RolesGuard",false,'admin','marketing','manager',svc,marketingAi.generateAdCopy,true
POST,/api/ai/marketing/sentiment-analyze,modules/ai/presentation/ai-marketing.controller.ts,61,sentimentAnalyze,ai,"RolesGuard",false,'admin','marketing','manager','crm_manager',svc,marketingAi.analyzeSentiment,true
POST,/api/ai/marketing/seo-optimize,modules/ai/presentation/ai-marketing.controller.ts,73,seoOptimize,ai,"RolesGuard",false,'admin','marketing','manager',svc,marketingAi.optimizeSeo,true
GET,/api/ai-planning/dashboard,modules/ai/presentation/ai-planning.controller.ts,40,getDashboard,ai,"JwtAuthGuard, RolesGuard",false,,svc,service.getDashboard,true
GET,/api/ai-planning/plans,modules/ai/presentation/ai-planning.controller.ts,46,getPlans,ai,"JwtAuthGuard, RolesGuard",false,,svc,service.getPlans,true
POST,/api/ai-planning/plans,modules/ai/presentation/ai-planning.controller.ts,52,createPlan,ai,"JwtAuthGuard, RolesGuard",false,,svc,service.createPlan,true
GET,/api/ai-planning/config,modules/ai/presentation/ai-planning.controller.ts,61,getConfig,ai,"JwtAuthGuard, RolesGuard",false,,svc,service.getConfig,true
PUT,/api/ai-planning/config,modules/ai/presentation/ai-planning.controller.ts,67,updateConfig,ai,"JwtAuthGuard, RolesGuard",false,,svc,service.updateConfig,true
PATCH,/api/ai-planning/config,modules/ai/presentation/ai-planning.controller.ts,75,patchConfig,ai,"JwtAuthGuard, RolesGuard",false,,svc,service.updateConfig,true
POST,/api/ai-planning/generate,modules/ai/presentation/ai-planning.controller.ts,85,generatePlan,ai,"JwtAuthGuard, RolesGuard",false,,svc,service.generatePlan,true
GET,/api/ai-planning/plans/:id,modules/ai/presentation/ai-planning.controller.ts,94,getPlanById,ai,"JwtAuthGuard, RolesGuard",false,,svc,service.getPlanById,true
GET,/api/ai-planning/plans/:id/batch-groups,modules/ai/presentation/ai-planning.controller.ts,100,getBatchGroups,ai,"JwtAuthGuard, RolesGuard",false,,svc,service.getBatchGroups,true
POST,/api/ai-planning/plans/:id/approve,modules/ai/presentation/ai-planning.controller.ts,106,approvePlan,ai,"JwtAuthGuard, RolesGuard",false,,svc,service.approvePlan,true
POST,/api/ai-planning/plans/:id/reject,modules/ai/presentation/ai-planning.controller.ts,115,rejectPlan,ai,"JwtAuthGuard, RolesGuard",false,,svc,service.rejectPlan,true
POST,/api/ai-planning/plans/:id/execute,modules/ai/presentation/ai-planning.controller.ts,124,executePlan,ai,"JwtAuthGuard, RolesGuard",false,,svc,service.executePlan,true
POST,/api/ai-planning/plans/:id/reschedule,modules/ai/presentation/ai-planning.controller.ts,132,reschedulePlan,ai,"JwtAuthGuard, RolesGuard",false,,svc,service.reschedulePlan,true
POST,/api/ai-planning/decisions/:id/accept,modules/ai/presentation/ai-planning.controller.ts,141,acceptDecision,ai,"JwtAuthGuard, RolesGuard",false,,svc,service.acceptDecision,true
POST,/api/ai-planning/orders/:orderId/block-material,modules/ai/presentation/ai-planning.controller.ts,149,blockMaterial,ai,"JwtAuthGuard, RolesGuard",false,,svc,service.blockMaterial,true
GET,/api/ai-reservation,modules/ai/presentation/ai-reservation.controller.ts,31,getAll,ai,"JwtAuthGuard, RolesGuard",false,,svc,service.getAll,true
GET,/api/ai-reservation/requests,modules/ai/presentation/ai-reservation.controller.ts,37,getRequests,ai,"JwtAuthGuard, RolesGuard",false,,svc,service.getRequests,true
GET,/api/ai-reservation/dashboard,modules/ai/presentation/ai-reservation.controller.ts,43,getDashboard,ai,"JwtAuthGuard, RolesGuard",false,,svc,service.getDashboard,true
POST,/api/ai-reservation/request,modules/ai/presentation/ai-reservation.controller.ts,49,createRequest,ai,"JwtAuthGuard, RolesGuard",false,,svc,service.createRequest,true
GET,/api/ai-reservation/optimize,modules/ai/presentation/ai-reservation.controller.ts,57,optimizeReservation,ai,"JwtAuthGuard, RolesGuard",false,,svc,service.optimizeReservation,true
POST,/api/ai-reservation/requests/:id/confirm,modules/ai/presentation/ai-reservation.controller.ts,63,confirmRequest,ai,"JwtAuthGuard, RolesGuard",false,,svc,service.confirmRequest,true
POST,/api/ai-reservation/requests/:id/cancel,modules/ai/presentation/ai-reservation.controller.ts,71,cancelRequest,ai,"JwtAuthGuard, RolesGuard",false,,svc,service.cancelRequest,true
GET,/api/ai-reservation/batches,modules/ai/presentation/ai-reservation.controller.ts,79,getBatches,ai,"JwtAuthGuard, RolesGuard",false,,svc,service.getAll,true
POST,/api/ai-reservation/batches,modules/ai/presentation/ai-reservation.controller.ts,85,createBatch,ai,"JwtAuthGuard, RolesGuard",false,,svc,service.createBatch,true
POST,/api/ai/wms/reorder-point,modules/ai/presentation/ai-wms.controller.ts,33,reorderPoint,ai,"RolesGuard",false,'admin','warehouse_manager','manager',svc,wmsAi.calculateReorderPoint,true
POST,/api/ai/wms/optimize-stock,modules/ai/presentation/ai-wms.controller.ts,48,optimizeStock,ai,"RolesGuard",false,'admin','warehouse_manager','manager',svc,wmsAi.optimizeStock,true
POST,/api/ai/wms/delivery-predict,modules/ai/presentation/ai-wms.controller.ts,60,deliveryPredict,ai,"RolesGuard",false,'admin','warehouse_manager','logistics','manager',svc,wmsAi.predictDelivery,true
POST,/api/ai/wms/route-optimize,modules/ai/presentation/ai-wms.controller.ts,75,routeOptimize,ai,"RolesGuard",false,'admin','logistics','driver','manager',svc,wmsAi.optimizeRoute,true
POST,/api/ai/call,modules/ai/presentation/ai.controller.ts,54,?,ai,"RolesGuard",false,,real?,,true
GET,/api/ai/budget,modules/ai/presentation/ai.controller.ts,108,?,ai,"RolesGuard",false,Role.SUPER_ADMIN,Role.DIRECTOR,Role.FINANCE_MANAGER,real?,,false
GET,/api/ai/bottleneck/analysis,modules/ai/presentation/ai.controller.ts,169,getBottleneckAnalysis,ai,"RolesGuard",false,Role.SUPER_ADMIN,Role.DIRECTOR,Role.PRODUCTION_MANAGER,stub/dead,,true
GET,/api/ai/forecast/demand,modules/ai/presentation/ai.controller.ts,176,getDemandForecast,ai,"RolesGuard",false,Role.SUPER_ADMIN,Role.DIRECTOR,Role.PRODUCTION_MANAGER,stub/dead,,true
GET,/api/ai/rush-orders,modules/ai/presentation/ai.controller.ts,184,getRushOrders,ai,"RolesGuard",false,Role.SUPER_ADMIN,Role.DIRECTOR,Role.PRODUCTION_MANAGER,stub/dead,,true
POST,/api/ai/rush-orders/:id/approve,modules/ai/presentation/ai.controller.ts,192,approveRushOrder,ai,"RolesGuard",false,Role.SUPER_ADMIN,Role.DIRECTOR,Role.PRODUCTION_MANAGER,stub/dead,,true
POST,/api/ai/rush-orders/:id/reject,modules/ai/presentation/ai.controller.ts,201,rejectRushOrder,ai,"RolesGuard",false,Role.SUPER_ADMIN,Role.DIRECTOR,Role.PRODUCTION_MANAGER,stub/dead,,true
GET,/api/ai/shift/recommendations,modules/ai/presentation/ai.controller.ts,211,getShiftRecommendations,ai,"RolesGuard",false,Role.SUPER_ADMIN,Role.DIRECTOR,Role.PRODUCTION_MANAGER,Role.HR_MANAGER,real?,,true
POST,/api/forecast/run,modules/ai/presentation/forecast-ext.controller.ts,70,runAll,ai,"JwtAuthGuard, PermissionGuard",false,,svc,weeklyJob.scheduleForecastJobs,false
POST,/api/forecast/:id/ema,modules/ai/presentation/forecast-ext.controller.ts,79,ema,ai,"JwtAuthGuard, PermissionGuard",false,,svc,forecastSvc.forecastEma,false
POST,/api/forecast/:id/hw,modules/ai/presentation/forecast-ext.controller.ts,88,hw,ai,"JwtAuthGuard, PermissionGuard",false,,svc,hwSvc.autoForecast,false
POST,/api/forecast/:id/croston,modules/ai/presentation/forecast-ext.controller.ts,97,croston,ai,"JwtAuthGuard, PermissionGuard",false,,svc,crostonSvc.forecast,false
POST,/api/forecast/:id/ensemble,modules/ai/presentation/forecast-ext.controller.ts,123,ensemble,ai,"JwtAuthGuard, PermissionGuard",false,,svc,ensembleSvc.ensemble,false
GET,/api/gpt/status,modules/ai/presentation/gpt.controller.ts,33,getStatus,ai,"JwtAuthGuard, RolesGuard",false,,svc,logger.log,false
GET,/api/gpt/chat,modules/ai/presentation/gpt.controller.ts,39,getChatInfo,ai,"JwtAuthGuard, RolesGuard",false,,svc,logger.log,false
POST,/api/gpt/test,modules/ai/presentation/gpt.controller.ts,45,test,ai,"JwtAuthGuard, RolesGuard",false,,svc,logger.log,true
GET,/api/insights,modules/ai/presentation/insights.controller.ts,33,getAll,ai,"JwtAuthGuard, RolesGuard",false,,svc,service.getAll,true
GET,/api/insights/dashboard,modules/ai/presentation/insights.controller.ts,40,getDashboard,ai,"JwtAuthGuard, RolesGuard",false,,svc,service.getAll,false
POST,/api/insights/generate,modules/ai/presentation/insights.controller.ts,49,generate,ai,"JwtAuthGuard, RolesGuard",false,,svc,service.generate,true
PATCH,/api/insights/:id/read,modules/ai/presentation/insights.controller.ts,57,markRead,ai,"JwtAuthGuard, RolesGuard",false,,svc,service.markRead,true
POST,/api/ai-agents/sales/evaluate,modules/ai-agents/presentation/ai-agents.controller.ts,107,salesEvaluate,ai-agents,"JwtAuthGuard, RolesGuard",false,'DIRECTOR','SUPER_ADMIN','SALES_MANAGER','SALES_HEAD',svc,sales.evaluate,false
