method,path,file,line,handler,module,guards,public,roles,kind,svcCall,hasFrontendCaller
PATCH,/api/camera/camera-events/:id,modules/iot/presentation/iot-camera-events.controller.ts,77,updateCameraEvent,iot,"RolesGuard",false,...MANAGER_ROLES,svc,svc.updateCameraEvent,false
GET,/api/camera/safety-violations,modules/iot/presentation/iot-camera-events.controller.ts,87,listSafetyViolations,iot,"",false,,svc,svc.listSafetyViolations,false
POST,/api/camera/safety-violations,modules/iot/presentation/iot-camera-events.controller.ts,96,createSafetyViolation,iot,"RolesGuard",false,...MANAGER_ROLES,svc,svc.createSafetyViolation,false
GET,/api/camera/quality-defects-camera,modules/iot/presentation/iot-camera-events.controller.ts,114,listQualityDefects,iot,"",false,,svc,svc.listQualityDefects,false
POST,/api/camera/quality-defects-camera,modules/iot/presentation/iot-camera-events.controller.ts,122,createQualityDefect,iot,"RolesGuard",false,...MANAGER_ROLES,svc,svc.createQualityDefect,false
PATCH,/api/camera/quality-defects-camera/:id,modules/iot/presentation/iot-camera-events.controller.ts,141,updateQualityDefect,iot,"RolesGuard",false,...MANAGER_ROLES,svc,svc.updateQualityDefect,false
GET,/api/camera/cameras,modules/iot/presentation/iot-camera.controller.ts,50,listCameras,iot,"",false,,svc,svc.listCameras,false
GET,/api/camera/cameras/:id,modules/iot/presentation/iot-camera.controller.ts,58,getCamera,iot,"",false,,svc,svc.getCamera,false
POST,/api/camera/cameras,modules/iot/presentation/iot-camera.controller.ts,68,createCamera,iot,"RolesGuard",false,...MANAGER_ROLES,svc,svc.createCamera,false
PATCH,/api/camera/cameras/:id,modules/iot/presentation/iot-camera.controller.ts,88,updateCamera,iot,"RolesGuard",false,...MANAGER_ROLES,svc,svc.updateCamera,false
DELETE,/api/camera/cameras/:id,modules/iot/presentation/iot-camera.controller.ts,113,deleteCamera,iot,"RolesGuard",false,...MANAGER_ROLES,svc,svc.deleteCamera,false
GET,/api/camera/cameras/:cameraId/zones,modules/iot/presentation/iot-camera.controller.ts,124,getCameraZones,iot,"",false,,svc,svc.getCameraZones,false
POST,/api/camera/camera-zones,modules/iot/presentation/iot-camera.controller.ts,132,createCameraZone,iot,"RolesGuard",false,...MANAGER_ROLES,svc,svc.createCameraZone,false
GET,/api/iot/dashboard,modules/iot/presentation/iot-main.controller.ts,56,getDashboard,iot,"JwtAuthGuard, RolesGuard",false,,svc,svc.getDashboard,true
GET,/api/iot/attendance/live,modules/iot/presentation/iot-main.controller.ts,61,getAttendanceLive,iot,"JwtAuthGuard, RolesGuard",false,,svc,svc.getAttendanceLive,true
GET,/api/iot/room-inspections,modules/iot/presentation/iot-main.controller.ts,66,getRoomInspections,iot,"JwtAuthGuard, RolesGuard",false,,svc,svc.getRoomInspections,true
GET,/api/iot/employee-health,modules/iot/presentation/iot-main.controller.ts,74,getEmployeeHealth,iot,"JwtAuthGuard, RolesGuard",false,,svc,svc.getEmployeeHealth,true
GET,/api/iot/machine-status,modules/iot/presentation/iot-main.controller.ts,83,getMachineStatus,iot,"JwtAuthGuard, RolesGuard",false,,svc,svc.getMachineStatusCurrent,true
GET,/api/iot/machine-status-logs,modules/iot/presentation/iot-main.controller.ts,88,getMachineStatusLogs,iot,"JwtAuthGuard, RolesGuard",false,...IOT_READ,svc,svc.getMachineStatusLogs,true
GET,/api/iot/employee-productivity,modules/iot/presentation/iot-main.controller.ts,97,getEmployeeProductivity,iot,"JwtAuthGuard, RolesGuard",false,...IOT_READ,svc,svc.getEmployeeProductivity,false
GET,/api/iot/environment,modules/iot/presentation/iot-main.controller.ts,107,getEnvironment,iot,"JwtAuthGuard, RolesGuard",false,...IOT_READ,svc,svc.getEnvironmentData,false
GET,/api/iot/devices/:id/stats,modules/iot/presentation/iot-main.controller.ts,120,getDeviceStats,iot,"JwtAuthGuard, RolesGuard",false,...IOT_READ,svc,svc.getDeviceStats,false
GET,/api/iot/quality-defects,modules/iot/presentation/iot-main.controller.ts,128,getQualityDefects,iot,"JwtAuthGuard, RolesGuard",false,...IOT_READ,svc,svc.getQualityDefects,true
GET,/api/iot/recognition-stats,modules/iot/presentation/iot-main.controller.ts,137,getRecognitionStats,iot,"JwtAuthGuard, RolesGuard",false,...IOT_READ,svc,svc.getRecognitionStats,false
GET,/api/iot/energy-consumption,modules/iot/presentation/iot-main.controller.ts,145,getEnergyConsumption,iot,"JwtAuthGuard, RolesGuard",false,...IOT_READ,svc,svc.getEnvironmentData,false
GET,/api/iot/temperature,modules/iot/presentation/iot-main.controller.ts,154,getTemperature,iot,"JwtAuthGuard, RolesGuard",false,...IOT_READ,svc,svc.getEnvironmentData,false
GET,/api/iot/humidity,modules/iot/presentation/iot-main.controller.ts,162,getHumidity,iot,"JwtAuthGuard, RolesGuard",false,...IOT_READ,svc,svc.getEnvironmentData,false
GET,/api/iot/pressure,modules/iot/presentation/iot-main.controller.ts,170,getPressure,iot,"JwtAuthGuard, RolesGuard",false,...IOT_READ,svc,svc.getEnvironmentData,false
GET,/api/iot/vibration,modules/iot/presentation/iot-main.controller.ts,178,getVibration,iot,"JwtAuthGuard, RolesGuard",false,...IOT_READ,svc,svc.getEnvironmentData,false
GET,/api/iot/gas-levels,modules/iot/presentation/iot-main.controller.ts,189,getGasLevels,iot,"JwtAuthGuard, RolesGuard",false,...IOT_READ,svc,svc.getEnvironmentData,false
GET,/api/iot/noise-levels,modules/iot/presentation/iot-main.controller.ts,197,getNoiseLevels,iot,"JwtAuthGuard, RolesGuard",false,...IOT_READ,svc,svc.getEnvironmentData,false
GET,/api/iot/production-metrics,modules/iot/presentation/iot-main.controller.ts,206,getProductionMetrics,iot,"JwtAuthGuard, RolesGuard",false,...IOT_READ,svc,svc.getProductionMetrics,false
GET,/api/iot/oee,modules/iot/presentation/iot-main.controller.ts,214,getOee,iot,"JwtAuthGuard, RolesGuard",false,...IOT_READ,svc,svc.getOee,true
GET,/api/iot/downtime,modules/iot/presentation/iot-main.controller.ts,223,getDowntime,iot,"JwtAuthGuard, RolesGuard",false,...IOT_READ,svc,svc.getMachineStatusLogs,false
GET,/api/iot/shift-report,modules/iot/presentation/iot-main.controller.ts,232,getShiftReport,iot,"JwtAuthGuard, RolesGuard",false,...IOT_READ,svc,svc.getShiftReport,false
GET,/api/iot/maintenance-schedule,modules/iot/presentation/iot-main.controller.ts,241,getMaintenanceSchedule,iot,"JwtAuthGuard, RolesGuard",false,...IOT_READ,svc,svc.getMachineStatusCurrent,false
GET,/api/iot/sensors,modules/iot/presentation/iot-main.controller.ts,249,getSensorsList,iot,"JwtAuthGuard, RolesGuard",false,,svc,sensorsSvc.listSensors,true
GET,/api/iot/telemetry,modules/iot/presentation/iot-main.controller.ts,256,getTelemetry,iot,"JwtAuthGuard, RolesGuard",false,,svc,sensorsSvc.getDashboard,false
GET,/api/iot/live-dashboard/summary,modules/iot/presentation/iot-main.controller.ts,263,getLiveDashboardSummary,iot,"JwtAuthGuard, RolesGuard",false,,svc,svc.getDashboard,true
GET,/api/iot/downtime-reason-codes,modules/iot/presentation/iot-main.controller.ts,270,getDowntimeReasonCodes,iot,"JwtAuthGuard, RolesGuard",false,,real?,,true
PATCH,/api/iot/devices/:id,modules/iot/presentation/iot-main.controller.ts,284,patchDevice,iot,"JwtAuthGuard, RolesGuard",false,,real?,,false
GET,/api/iot/oee/live,modules/iot/presentation/iot-main.controller.ts,303,getOeeLive,iot,"JwtAuthGuard, RolesGuard",false,,real?,,true
GET,/api/iot-sensors/dashboard,modules/iot/presentation/iot-sensors-main.controller.ts,57,getDashboard,iot,"",false,...IOT_READ,svc,svc.getDashboard,true
GET,/api/iot-sensors/live,modules/iot/presentation/iot-sensors-main.controller.ts,65,getLive,iot,"",false,...IOT_READ,svc,svc.getLiveReadings,true
GET,/api/iot-sensors/alerts,modules/iot/presentation/iot-sensors-main.controller.ts,74,getAlerts,iot,"",false,...IOT_READ,svc,svc.getAlerts,true
